step,lr,influence_raw,influence_lr_normalized
174,2.62500000e-05,-2.05213172e-07,-7.81764466e-03
175,2.64000000e-05,-2.39881143e-07,-9.08640694e-03
176,2.65500000e-05,9.89037686e-08,3.72518903e-03
177,2.67000000e-05,-8.07402767e-08,-3.02398040e-03
178,2.68500000e-05,-2.98298457e-08,-1.11098122e-03
179,2.70000000e-05,-1.58435279e-07,-5.86797330e-03
180,2.71500000e-05,1.25382450e-07,4.61813813e-03
181,2.73000000e-05,-6.36716035e-08,-2.33229317e-03
182,2.74500000e-05,-3.26097306e-08,-1.18796833e-03
183,2.76000000e-05,-1.01976079e-07,-3.69478548e-03
184,2.77500000e-05,-4.77868989e-08,-1.72205041e-03
185,2.79000000e-05,1.00387197e-07,3.59810743e-03
186,2.80500000e-05,-2.45766802e-07,-8.76173984e-03
187,2.82000000e-05,-9.03657864e-08,-3.20446051e-03
188,2.83500000e-05,3.12996096e-09,1.10404267e-04
189,2.85000000e-05,-2.30667037e-07,-8.09358025e-03
190,2.86500000e-05,-3.91242342e-07,-1.36559282e-02
191,2.88000000e-05,5.26732382e-08,1.82893188e-03
192,2.89500000e-05,-4.91793775e-08,-1.69876952e-03
193,2.91000000e-05,3.21851423e-08,1.10601864e-03
194,2.92500000e-05,8.14568080e-09,2.78484814e-04
195,2.94000000e-05,2.10455373e-08,7.15834602e-04
196,2.95500000e-05,-7.10309003e-08,-2.40375297e-03
197,2.97000000e-05,2.39510033e-07,8.06431088e-03
198,2.98500000e-05,-6.15275506e-08,-2.06122448e-03
199,3.00000000e-05,-6.63377726e-08,-2.21125909e-03
200,3.01500000e-05,1.41580980e-07,4.69588658e-03
201,3.03000000e-05,2.56629784e-09,8.46962984e-05
202,3.04500000e-05,-1.37063174e-07,-4.50125367e-03
203,3.06000000e-05,3.89566697e-08,1.27309378e-03
204,3.07500000e-05,9.36174693e-10,3.04447055e-05
205,3.09000000e-05,-5.42796449e-08,-1.75662281e-03
206,3.10500000e-05,4.94241270e-08,1.59175932e-03
207,3.12000000e-05,-9.86373501e-08,-3.16145353e-03
208,3.13500000e-05,1.62333968e-09,5.17811702e-05
209,3.15000000e-05,1.93339176e-07,6.13775163e-03
210,3.16500000e-05,3.84103193e-07,1.21359619e-02
211,3.18000000e-05,4.15205297e-08,1.30567703e-03
212,3.19500000e-05,-2.75987834e-07,-8.63811687e-03
213,3.21000000e-05,-4.28377296e-07,-1.33450871e-02
214,3.22500000e-05,-4.24401043e-07,-1.31597223e-02
215,3.24000000e-05,9.68942471e-08,2.99056318e-03
216,3.25500000e-05,3.33331228e-07,1.02405907e-02
217,3.27000000e-05,1.86001987e-07,5.68813416e-03
218,3.28500000e-05,1.99669198e-07,6.07820999e-03
219,3.30000000e-05,5.14525744e-09,1.55916892e-04
220,3.31500000e-05,9.04324970e-08,2.72797879e-03
221,3.33000000e-05,-5.47043340e-08,-1.64277279e-03
222,3.34500000e-05,-5.53148740e-08,-1.65365842e-03
223,3.36000000e-05,-1.33726430e-07,-3.97995328e-03
224,3.37500000e-05,1.93178544e-07,5.72380871e-03
225,3.39000000e-05,4.77915130e-08,1.40977914e-03
226,3.40500000e-05,-3.51999137e-08,-1.03377133e-03
227,3.42000000e-05,-3.46482396e-08,-1.01310642e-03
228,3.43500000e-05,-2.03285004e-07,-5.91804961e-03
229,3.45000000e-05,-6.27909650e-08,-1.82002797e-03
230,3.46500000e-05,-1.98107283e-07,-5.71738191e-03
